抗菌药物,结果,抗菌药物,结果
阿米卡星,敏感,哌拉西林 - 他唑巴坦,耐药
庆大霉素,耐药,头孢他啶,敏感
氨苄西林 - 舒巴坦,耐药,头孢吡肟,敏感
头孢哌酮 - 舒巴坦,耐药,氨曲南,耐药
亚胺培南,耐药,多黏菌素 E,敏感
美罗培南,耐药,头孢他啶 - 阿维巴坦,敏感
环丙沙星,耐药,,
,,,
,,,
报告解读原文,,,
① 该菌为碳青霉烯类耐药铜绿假单胞菌：对亚胺培南或美罗培南任意一种药物耐药者即判断为碳青霉烯类耐药菌株。,,,
② 耐药机制：该菌对亚胺培南和美罗培南同时表现为耐药，其耐药机制可能是膜孔蛋白 OprD2 的缺失以及外排泵；OprD2 膜孔蛋白为亚胺培南进入细菌细胞内的特有通道，丢失后将导致细菌对亚胺培南耐药，而细菌外排泵的存在及高表达可导致其对美罗培南耐药，其他抗菌药物仍可通过其他通道进入细胞内而发挥杀菌作用。,,,
③ 如果实验室无法开展头孢他啶 - 阿维巴坦药敏试验，可以根据头孢他啶的药敏结果进行初步推导，即头孢他啶敏感的菌株可直接推导该菌对头孢他啶 - 阿维巴坦敏感，但对头孢他啶耐药的菌株不能直接推导该菌对头孢他啶 - 阿维巴坦耐药，头孢他啶耐药的菌株可对头孢他啶 - 阿维巴坦敏感。,,,
菌株简要总结,,,
此株铜绿假单胞菌为双碳青霉烯全耐药铜绿（CRPA），喹诺酮类、青霉素复合制剂、氨曲南均耐药；氨基糖苷类阿米卡星、三代头孢他啶、四代头孢吡肟、多黏菌素 E、头孢他啶阿维巴坦保持敏感。,,,
